id,label,text,prediction,n_models_error,models_with_error
3942,ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!,spam,1,['gpt-3.5-turbo-0125']
3945,spam,Missed call alert. These numbers called but left no message. 07008009200,ham,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']"
3951,ham,Actually i'm waiting for 2 weeks when they start putting ad.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3956,ham,Double eviction this week - Spiral and Michael and good riddance to them!,spam,1,['gpt-3.5-turbo-0125']
3966,ham,Life style garments account no please.,spam,1,['gpt-4o-mini']
3976,spam,"accordingly. I repeat, just text the word ok on your mobile phone and send",ham,3,"['gpt-3.5-turbo-0125', 'gpt-5', 'gpt-4.1']"
3980,ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3982,ham,"How about clothes, jewelry, and trips?",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3991,ham,<DECIMAL> m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,,1,['gpt-5-mini']
3995,ham,Beauty sleep can help ur pimples too.,spam,1,['gpt-4o-mini']
4019,spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,ham,1,['gpt-5-mini']
4021,spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,ham,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']"
4031,ham,He dint tell anything. He is angry on me that why you told to abi.,,1,['gpt-5-mini']
4039,ham,S...i will take mokka players only:),spam,1,['gpt-3.5-turbo-0125']
4049,ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),spam,6,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4063,ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4066,ham,You still around? I could use a half-8th,spam,1,['gpt-3.5-turbo-0125']
4067,ham,You give us back my id proof and <#> rs. We wont allow you to work. We will come to your home within days,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
4073,ham,Great. So should i send you my account number.,spam,1,['gpt-4o-mini']
4085,ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,,1,['gpt-5-mini']
4091,spam,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,ham,1,['gpt-5-mini']
4098,ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
4107,spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,ham,2,"['gpt-5-nano', 'gpt-5-mini']"
4114,ham,Juz go google n search 4 qet...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4136,ham,Update your face book status frequently :),spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4150,ham,i want to grasp your pretty booty :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
4158,ham,Please tell me you have some of that special stock you were talking about,spam,2,"['gpt-3.5-turbo-0125', 'gpt-5-nano']"
4179,spam,3. You have received your mobile content. Enjoy,ham,4,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']"
4188,ham,No..its ful of song lyrics..,spam,1,['gpt-4o-mini']
4218,spam,Money i have won wining number 946 wot do i do next,ham,1,['gpt-5']
4219,ham,"Sure, whenever you show the fuck up >:(",,1,['gpt-5']
4221,ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",spam,1,['gpt-4o-mini']
4254,ham,"""SYMPTOMS"" when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",spam,1,['gpt-4o-mini']
4255,ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,,1,['gpt-5-mini']
4259,ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4260,ham,Think + da. You wil do.,spam,1,['gpt-4o-mini']
4294,ham,Have you laid your airtel line to rest?,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
4299,ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!,spam,1,['gpt-3.5-turbo-0125']
4312,ham,Good. do you think you could send me some pix? I would love to see your top and bottom...,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
4316,ham,"Received, understood n acted upon!",,1,['gpt-5-mini']
4338,ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
4340,ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4347,ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4354,ham,Not..tel software name..,spam,1,['gpt-4o-mini']
4360,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",ham,1,['gpt-5-nano']
4363,spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",ham,1,['gpt-5-mini']
4365,ham,Wewa is 130. Iriver 255. All 128 mb.,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
4396,ham,Thats cool princess! I will cover your face in hot sticky cum :),spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4411,ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to <#>,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4416,ham,Good Morning my Dear Shijutta........... Have a great & successful day.,,1,['gpt-5-mini']
4421,ham,We have pizza if u want,spam,1,['gpt-5-nano']
4426,ham,"When you just put in the + sign, choose my number and the pin will show. Right?",spam,2,"['gpt-4.1-mini', 'gpt-5-nano']"
4441,ham,Prepare to be pleasured :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
4442,ham,Hi.:)technical support.providing assistance to us customer through call and email:),spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
4458,ham,"Call me, i am senthil from hsbc.",spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini']"
4505,ham,Po de :-):):-):-):-). No need job aha.,spam,1,['gpt-3.5-turbo-0125']
4508,ham,I hope your pee burns tonite.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4520,ham,S.this will increase the chance of winning.,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4528,ham,yes baby! I need to stretch open your pussy!,spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4530,ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",spam,1,['gpt-3.5-turbo-0125']
4538,ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face <#> .joker face.,"ham
ham
ham
ham
ham
ham
ham
ham
ham",2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4553,ham,Or just do that 6times,"ham
ham
spam
ham
spam
ham",1,['gpt-3.5-turbo-0125']
4555,ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4573,ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4576,spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4584,ham,Oh yah... We never cancel leh... Haha,,1,['gpt-5-mini']
4592,ham,Match started.india <#> for 2,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
4593,ham,Once free call me sir.,spam,1,['gpt-4o-mini']
4594,ham,Hey do you want anything to buy:),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
4596,ham,K..k.:)congratulation ..,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4619,ham,I want <#> rs da:)do you have it?,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
4620,ham,I want to see your pretty pussy...,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4624,spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,ham,2,"['gpt-5', 'gpt-4.1']"
4627,ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,,1,['gpt-5-mini']
4633,ham,You are gorgeous! keep those pix cumming :) thank you!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4639,ham,Networking job is there.,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
4660,ham,There's someone here that has a year <#> toyota camry like mr olayiwola's own. Mileage is <#> k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,spam,1,['gpt-3.5-turbo-0125']
4683,ham,Go chase after her and run her over while she's crossing the street,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
4686,ham,Ok i vl..do u know i got adsense approved..,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4694,ham,She ran off with a younger man. we will make pretty babies together :),spam,1,['gpt-4o-mini']
4695,spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,,1,['gpt-5-mini']
4740,ham,"St andre, virgil's cream",spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
4745,ham,But i'm really really broke oh. No amount is too small even <#>,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
4751,spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,ham,1,['gpt-5-mini']
4805,ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,spam,1,['gpt-3.5-turbo-0125']
4806,ham,Just send a text. We'll skype later.,,1,['gpt-5-mini']
4837,ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,spam,1,['gpt-3.5-turbo-0125']
4842,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",,1,['gpt-5-mini']
4846,ham,3 pa but not selected.,spam,1,['gpt-4o-mini']
4866,ham,"Gud gud..k, chikku tke care.. sleep well gud nyt",,1,['gpt-5-mini']
4870,ham,Thank you princess! I want to see your nice juicy booty...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
4872,ham,U come n search tat vid..not finishd..,,1,['gpt-5-mini']
4881,ham,1 in cbe. 2 in chennai.,spam,1,['gpt-4o-mini']
4883,ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ <#> .,spam,1,['gpt-5-nano']
4972,ham,This is ur face test ( 1 2 3 4 5 6 7 8 9 <#> ) select any number i will tell ur face astrology.... am waiting. quick reply...,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4978,ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,,1,['gpt-5']
4981,spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
4986,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,ham,2,"['gpt-5-nano', 'gpt-5-mini']"
4988,ham,Somebody set up a website where you can play hold em using eve online spacebucks,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
4995,ham,I will be gentle baby! Soon you will be taking all <#> inches deep inside your tight pussy...,spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
5001,ham,I dont know exactly could you ask chechi.,,1,['gpt-5-mini']
5003,ham,As in i want custom officer discount oh.,spam,1,['gpt-4o-mini']
5023,ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
5050,ham,"And that's fine, I got enough bud to last most of the night at least",,1,['gpt-5-mini']
5054,spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",ham,6,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
5057,ham,What???? Hello wats talks email address?,spam,1,['gpt-4o-mini']
5058,ham,Except theres a chick with huge boobs.,spam,1,['gpt-4o-mini']
5074,ham,Dhoni have luck to win some big title.so we will win:),,1,['gpt-5-mini']
5075,ham,Yes princess! I want to please you every night. Your wish is my command...,spam,1,['gpt-3.5-turbo-0125']
5076,ham,No probably <#> %.,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
5092,ham,Yes... I trust u to buy new stuff ASAP so I can try it out,spam,1,['gpt-3.5-turbo-0125']
5095,ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,,1,['gpt-5-mini']
5098,ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
5102,ham,I want to be inside you every night...,spam,1,['gpt-3.5-turbo-0125']
5115,ham,You are a big chic. Common. Declare,spam,1,['gpt-3.5-turbo-0125']
5131,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,ham,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4.1']"
5137,ham,Ic. There are a lotta childporn cars then.,spam,1,['gpt-4o-mini']
5147,ham,No. I meant the calculation is the same. That <#> units at <#> . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,,1,['gpt-5-mini']
5150,ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.,,1,['gpt-5-mini']
5157,ham,Will ü b going to esplanade fr home?,,1,['gpt-5-mini']
